Data;Linha;Sentido;Prefixo;Programado;Inicio Real;Fim Real;Qtd. Pass.;Encerrante;Observação
2022-08-23;U184;Ida;TEST;03:25;;;;;
2022-08-23;U184;Ida;TESTE;04:30;;;;;
2022-08-23;U184;Ida;TESTTTTTT;06:03;;;;;
2022-08-23;U184;Ida;;07:32;;;;;
2022-08-23;U184;Ida;;09:07;;;;;
2022-08-23;U184;Ida;;10:47;;;;;
2022-08-23;U184;Ida;;05:34;;;;;
2022-08-23;U184;Ida;;07:04;;;;;
2022-08-23;U184;Ida;;08:42;;;;;
2022-08-23;U184;Ida;;10:22;;;;;
2022-08-23;U184;Ida;;13:38;;;;;
2022-08-23;U184;Ida;;06:44;;;;;
2022-08-23;U184;Ida;;08:17;;;;;
2022-08-23;U184;Ida;;09:57;;;;;
2022-08-23;U184;Ida;;11:37;;;;;
2022-08-23;U184;Ida;;15:25;;;;;
2022-08-23;U184;Ida;;17:07;;;;;
2022-08-23;U184;Ida;;12:26;;;;;
2022-08-23;U184;Ida;;14:23;;;;;
2022-08-23;U184;Ida;;16:05;;;;;
2022-08-23;U184;Ida;;17:49;;;;;
2022-08-23;U184;Ida;;21:18;;;;;
2022-08-23;U184;Ida;;06:24;;;;;
2022-08-23;U184;Ida;;07:52;;;;;
2022-08-23;U184;Ida;;09:32;;;;;
2022-08-23;U184;Ida;;12:50;;;;;
2022-08-23;U184;Ida;;14:43;;;;;
2022-08-23;U184;Ida;;07:18;;;;;
2022-08-23;U184;Ida;;11:12;;;;;
2022-08-23;U184;Ida;;13:14;;;;;
2022-08-23;U184;Ida;;15:05;;;;;
2022-08-23;U184;Ida;;16:45;;;;;
2022-08-23;U184;Ida;;18:37;;;;;
2022-08-23;U184;Ida;;12:02;;;;;
2022-08-23;U184;Ida;;14:03;;;;;
2022-08-23;U184;Ida;;15:45;;;;;
2022-08-23;U184;Ida;;17:29;;;;;
2022-08-23;U184;Ida;;19:32;;;;;
2022-08-23;U184;Ida;;21:44;;;;;
2022-08-23;U184;Ida;;16:25;;;;;
2022-08-23;U184;Ida;;18:13;;;;;
2022-08-23;U184;Ida;;20:29;;;;;
2022-08-23;U184;Ida;;22:00;;;;;
2022-08-23;U184;Ida;;23:30;;;;;
2022-08-23;U184;Ida;;00:58;;;;;
2022-08-23;U184;Ida;;02:26;;;;;
